6.1s 1 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.1s 2 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.1s 3 0.00s - to python to disable frozen modules.
6.1s 4 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
6.9s 5 0.00s - Debugger warning: It seems that frozen modules are being used, which may
6.9s 6 0.00s - make the debugger miss breakpoints. Please pass -Xfrozen_modules=off
6.9s 7 0.00s - to python to disable frozen modules.
6.9s 8 0.00s - Note: Debugging will proceed. Set PYDEVD_DISABLE_FILE_VALIDATION=1 to disable this validation.
16.2s 9 
16.2s 10 Running Mode: WITHOUT_ATTENTION
31.1s 11 Epoch 1, Loss: 822.5107, Validation Loss: 6.3836
248.0s 34 Epoch 24, Loss: 54.3694, Validation Loss: 6.1043
257.5s 35 Epoch 25, Loss: 43.9978, Validation Loss: 6.1344
266.9s 36 Epoch 26, Loss: 34.9784, Validation Loss: 6.5158
276.4s 37 Epoch 27, Loss: 26.6942, Validation Loss: 6.1593
286.0s 38 Epoch 28, Loss: 20.7486, Validation Loss: 6.7220
295.4s 39 Epoch 29, Loss: 17.1671, Validation Loss: 6.3911
304.9s 40 Epoch 30, Loss: 14.0670, Validation Loss: 7.1333
314.4s 41 Epoch 31, Loss: 11.8785, Validation Loss: 6.3164
323.8s 42 Epoch 32, Loss: 10.1692, Validation Loss: 7.0509
333.2s 43 Epoch 33, Loss: 8.6517, Validation Loss: 6.2152
342.6s 44 Epoch 34, Loss: 7.9540, Validation Loss: 6.8248
352.2s 45 Epoch 35, Loss: 7.1862, Validation Loss: 7.0080
361.6s 46 Epoch 36, Loss: 6.3945, Validation Loss: 6.8639
371.0s 47 Epoch 37, Loss: 5.6730, Validation Loss: 7.3361
380.5s 48 Epoch 38, Loss: 5.2922, Validation Loss: 7.4902
389.9s 49 Epoch 39, Loss: 5.0835, Validation Loss: 7.0129
399.3s 50 Epoch 40, Loss: 5.0928, Validation Loss: 7.6054
408.8s 51 Epoch 41, Loss: 4.5973, Validation Loss: 7.3996
418.2s 52 Epoch 42, Loss: 4.7517, Validation Loss: 7.7618
427.5s 53 Epoch 43, Loss: 4.9830, Validation Loss: 7.1483
436.9s 54 Epoch 44, Loss: 4.5336, Validation Loss: 7.1943
446.4s 55 Epoch 45, Loss: 4.1979, Validation Loss: 7.0843
455.7s 56 Epoch 46, Loss: 4.6359, Validation Loss: 6.8946
465.1s 57 Epoch 47, Loss: 5.3721, Validation Loss: 6.7050
474.6s 58 Epoch 48, Loss: 5.7072, Validation Loss: 6.9653
484.0s 59 Epoch 49, Loss: 6.1001, Validation Loss: 7.6777
493.4s 60 Epoch 50, Loss: 6.1454, Validation Loss: 8.2101
502.9s 61 Epoch 51, Loss: 5.9876, Validation Loss: 7.3722
512.2s 62 Epoch 52, Loss: 6.1886, Validation Loss: 7.0342
521.6s 63 Epoch 53, Loss: 5.3956, Validation Loss: 7.1582
531.0s 64 Epoch 54, Loss: 5.1841, Validation Loss: 7.0970
540.5s 65 Epoch 55, Loss: 4.4725, Validation Loss: 7.9580
549.8s 66 Epoch 56, Loss: 3.7845, Validation Loss: 7.2043
559.1s 67 Epoch 57, Loss: 3.8981, Validation Loss: 8.4450
568.7s 68 Epoch 58, Loss: 3.5671, Validation Loss: 8.0145
578.0s 69 Epoch 59, Loss: 3.1889, Validation Loss: 7.2123
587.4s 70 Epoch 60, Loss: 3.0955, Validation Loss: 7.9193
597.0s 71 Epoch 61, Loss: 2.9423, Validation Loss: 8.1111
606.3s 72 Epoch 62, Loss: 2.4914, Validation Loss: 7.7752
615.7s 73 Epoch 63, Loss: 2.1430, Validation Loss: 7.2494
625.1s 74 Epoch 64, Loss: 2.1558, Validation Loss: 8.4258
634.6s 75 Epoch 65, Loss: 2.1136, Validation Loss: 7.3387
643.9s 76 Epoch 66, Loss: 1.9580, Validation Loss: 7.6901
653.3s 77 Epoch 67, Loss: 1.8214, Validation Loss: 7.5581
662.8s 78 Epoch 68, Loss: 1.7773, Validation Loss: 7.1827
672.2s 79 Epoch 69, Loss: 1.8749, Validation Loss: 7.3462
681.6s 80 Epoch 70, Loss: 1.8096, Validation Loss: 8.0201
691.0s 81 Epoch 71, Loss: 1.8486, Validation Loss: 7.8182
700.5s 82 Epoch 72, Loss: 1.7317, Validation Loss: 8.0013
709.9s 83 Epoch 73, Loss: 1.7778, Validation Loss: 7.2267
719.3s 84 Epoch 74, Loss: 1.9832, Validation Loss: 8.1494
728.8s 85 Epoch 75, Loss: 1.6709, Validation Loss: 8.4387
738.2s 86 Epoch 76, Loss: 1.6507, Validation Loss: 7.4437
747.6s 87 Epoch 77, Loss: 1.7315, Validation Loss: 7.7024
757.1s 88 Epoch 78, Loss: 1.7945, Validation Loss: 7.1436
766.6s 89 Epoch 79, Loss: 3.1857, Validation Loss: 7.8731
776.0s 90 Epoch 80, Loss: 46.5173, Validation Loss: 7.6897
785.4s 91 Epoch 81, Loss: 37.7486, Validation Loss: 7.4659
795.0s 92 Epoch 82, Loss: 11.2364, Validation Loss: 8.0097
804.4s 93 Epoch 83, Loss: 4.0530, Validation Loss: 7.6598
813.8s 94 Epoch 84, Loss: 2.0237, Validation Loss: 7.5029
823.4s 95 Epoch 85, Loss: 1.7084, Validation Loss: 8.1559
832.8s 96 Epoch 86, Loss: 1.4208, Validation Loss: 8.0230
842.2s 97 Epoch 87, Loss: 1.4637, Validation Loss: 7.8394
851.7s 98 Epoch 88, Loss: 1.2777, Validation Loss: 7.8234
861.0s 99 Epoch 89, Loss: 1.3557, Validation Loss: 7.7317
870.4s 100 Epoch 90, Loss: 1.1907, Validation Loss: 7.6785
879.8s 101 Epoch 91, Loss: 1.2902, Validation Loss: 7.8373
889.3s 102 Epoch 92, Loss: 1.2523, Validation Loss: 8.3677
898.8s 103 Epoch 93, Loss: 1.3389, Validation Loss: 7.5891
908.1s 104 Epoch 94, Loss: 1.3983, Validation Loss: 7.9283
917.6s 105 Epoch 95, Loss: 1.2962, Validation Loss: 7.7867
927.0s 106 Epoch 96, Loss: 1.1685, Validation Loss: 8.5719
936.4s 107 Epoch 97, Loss: 1.2435, Validation Loss: 7.8144
946.1s 108 Epoch 98, Loss: 1.2296, Validation Loss: 7.6691
955.5s 109 Epoch 99, Loss: 1.2651, Validation Loss: 7.6728
964.9s 110 Epoch 100, Loss: 1.1498, Validation Loss: 7.6883
974.4s 111 Epoch 101, Loss: 1.3157, Validation Loss: 8.1228
983.9s 112 Epoch 102, Loss: 1.3929, Validation Loss: 7.4559
993.4s 113 Epoch 103, Loss: 1.1582, Validation Loss: 7.8517
1002.7s 114 Epoch 104, Loss: 1.0925, Validation Loss: 7.9784
1012.2s 115 Epoch 105, Loss: 1.0633, Validation Loss: 7.7980
1021.7s 116 Epoch 106, Loss: 1.0448, Validation Loss: 8.4212
1031.1s 117 Epoch 107, Loss: 1.1666, Validation Loss: 7.4711
1040.6s 118 Epoch 108, Loss: 1.0731, Validation Loss: 8.5978
1050.1s 119 Epoch 109, Loss: 1.0358, Validation Loss: 7.7549
1059.5s 120 Epoch 110, Loss: 1.1284, Validation Loss: 8.2310
1068.9s 121 Epoch 111, Loss: 1.2022, Validation Loss: 8.1161
1078.5s 122 Epoch 112, Loss: 1.1115, Validation Loss: 8.2544
1087.9s 123 Epoch 113, Loss: 1.0603, Validation Loss: 7.6312
1097.4s 124 Epoch 114, Loss: 1.3785, Validation Loss: 8.3003
1107.0s 125 Epoch 115, Loss: 1.0996, Validation Loss: 7.9606
1116.4s 126 Epoch 116, Loss: 1.1600, Validation Loss: 7.7560
1125.8s 127 Epoch 117, Loss: 1.4082, Validation Loss: 8.1860
1135.2s 128 Epoch 118, Loss: 2.0621, Validation Loss: 7.5369
1144.7s 129 Epoch 119, Loss: 21.2989, Validation Loss: 7.6692
1154.1s 130 Epoch 120, Loss: 37.6453, Validation Loss: 7.7382
1163.5s 131 Epoch 121, Loss: 14.2423, Validation Loss: 7.8171
1173.0s 132 Epoch 122, Loss: 3.8341, Validation Loss: 7.3923
1182.4s 133 Epoch 123, Loss: 2.0967, Validation Loss: 7.9566
1191.8s 134 Epoch 124, Loss: 1.5956, Validation Loss: 7.9142
1201.4s 135 Epoch 125, Loss: 1.1536, Validation Loss: 8.1579
1210.8s 136 Epoch 126, Loss: 0.9851, Validation Loss: 7.8984
1220.2s 137 Epoch 127, Loss: 1.1999, Validation Loss: 7.6657
1229.6s 138 Epoch 128, Loss: 1.0947, Validation Loss: 8.0458
1239.1s 139 Epoch 129, Loss: 1.0246, Validation Loss: 8.3203
1248.5s 140 Epoch 130, Loss: 0.9226, Validation Loss: 8.3320
1257.8s 141 Epoch 131, Loss: 1.0159, Validation Loss: 8.4472
1267.3s 142 Epoch 132, Loss: 1.0152, Validation Loss: 7.8193
1276.6s 143 Epoch 133, Loss: 1.0083, Validation Loss: 7.9480
1286.0s 144 Epoch 134, Loss: 0.8591, Validation Loss: 8.1088
1295.5s 145 Epoch 135, Loss: 0.8128, Validation Loss: 8.1214
1304.8s 146 Epoch 136, Loss: 0.8735, Validation Loss: 7.8385
1314.2s 147 Epoch 137, Loss: 0.8147, Validation Loss: 8.3801
1323.6s 148 Epoch 138, Loss: 0.8838, Validation Loss: 7.7803
1333.1s 149 Epoch 139, Loss: 0.8357, Validation Loss: 8.5727
1342.6s 150 Epoch 140, Loss: 0.9748, Validation Loss: 8.1957
1351.9s 151 Epoch 141, Loss: 1.0355, Validation Loss: 7.8732
1361.4s 152 Epoch 142, Loss: 0.9750, Validation Loss: 8.6033
1370.9s 153 Epoch 143, Loss: 0.9805, Validation Loss: 8.2238
1380.3s 154 Epoch 144, Loss: 0.9471, Validation Loss: 8.2507
1390.1s 155 Epoch 145, Loss: 0.9359, Validation Loss: 7.9972
1399.6s 156 Epoch 146, Loss: 1.1037, Validation Loss: 8.3477
1409.0s 157 Epoch 147, Loss: 1.2184, Validation Loss: 8.2871
1418.5s 158 Epoch 148, Loss: 1.1709, Validation Loss: 8.5666
1428.0s 159 Epoch 149, Loss: 1.7303, Validation Loss: 8.8806
1437.5s 160 Epoch 150, Loss: 1.3729, Validation Loss: 8.4528
1447.0s 161 Epoch 151, Loss: 1.2469, Validation Loss: 8.5520
1456.6s 162 Epoch 152, Loss: 1.1444, Validation Loss: 7.8483
1466.0s 163 Epoch 153, Loss: 1.1870, Validation Loss: 9.1694
1475.4s 164 Epoch 154, Loss: 1.2016, Validation Loss: 8.1657
1485.1s 165 Epoch 155, Loss: 1.0293, Validation Loss: 8.1218
1494.5s 166 Epoch 156, Loss: 1.2675, Validation Loss: 8.3556
1503.9s 167 Epoch 157, Loss: 4.3463, Validation Loss: 8.4393
1513.4s 168 Epoch 158, Loss: 19.5873, Validation Loss: 7.9520
1522.9s 169 Epoch 159, Loss: 16.6637, Validation Loss: 7.5643
1532.3s 170 Epoch 160, Loss: 5.7044, Validation Loss: 7.6256
1541.6s 171 Epoch 161, Loss: 2.1983, Validation Loss: 7.8756
1551.2s 172 Epoch 162, Loss: 1.3493, Validation Loss: 8.6355
1560.5s 173 Epoch 163, Loss: 1.0471, Validation Loss: 8.4213
1569.8s 174 Epoch 164, Loss: 0.9320, Validation Loss: 8.0993
1579.3s 175 Epoch 165, Loss: 0.7314, Validation Loss: 8.2523
1588.7s 176 Epoch 166, Loss: 0.7561, Validation Loss: 8.5237
1598.1s 177 Epoch 167, Loss: 0.7458, Validation Loss: 7.6656
1607.4s 178 Epoch 168, Loss: 0.7924, Validation Loss: 8.7988
1616.9s 179 Epoch 169, Loss: 0.8441, Validation Loss: 7.9323
1626.3s 180 Epoch 170, Loss: 0.7278, Validation Loss: 8.4132
1635.7s 181 Epoch 171, Loss: 0.7422, Validation Loss: 9.0507
1645.2s 182 Epoch 172, Loss: 0.8280, Validation Loss: 8.4628
1654.5s 183 Epoch 173, Loss: 0.8153, Validation Loss: 8.7772
1663.9s 184 Epoch 174, Loss: 0.7257, Validation Loss: 7.8798
1673.2s 185 Epoch 175, Loss: 0.7394, Validation Loss: 7.9429
1682.7s 186 Epoch 176, Loss: 0.8322, Validation Loss: 7.9108
1692.1s 187 Epoch 177, Loss: 0.7138, Validation Loss: 9.8336
1701.5s 188 Epoch 178, Loss: 0.7909, Validation Loss: 7.8274
1711.0s 189 Epoch 179, Loss: 0.8925, Validation Loss: 8.7774
1720.4s 190 Epoch 180, Loss: 0.8373, Validation Loss: 8.2051
1729.8s 191 Epoch 181, Loss: 0.8795, Validation Loss: 8.9922
1739.3s 192 Epoch 182, Loss: 1.0729, Validation Loss: 7.9457
1748.7s 193 Epoch 183, Loss: 0.9232, Validation Loss: 8.1664
1758.1s 194 Epoch 184, Loss: 0.9670, Validation Loss: 7.9579
1767.5s 195 Epoch 185, Loss: 0.7646, Validation Loss: 8.3516
1777.0s 196 Epoch 186, Loss: 0.8196, Validation Loss: 8.6004
1786.5s 197 Epoch 187, Loss: 0.5962, Validation Loss: 8.7433
1795.9s 198 Epoch 188, Loss: 0.6685, Validation Loss: 9.2609
1805.4s 199 Epoch 189, Loss: 0.7141, Validation Loss: 9.5443
1814.8s 200 Epoch 190, Loss: 0.7710, Validation Loss: 9.0475
1824.1s 201 Epoch 191, Loss: 0.6506, Validation Loss: 8.6152
1833.7s 202 Epoch 192, Loss: 0.6798, Validation Loss: 8.2280
1843.0s 203 Epoch 193, Loss: 0.6828, Validation Loss: 7.7824
1852.4s 204 Epoch 194, Loss: 0.5505, Validation Loss: 9.3049
1861.7s 205 Epoch 195, Loss: 0.7418, Validation Loss: 8.6095
1871.2s 206 Epoch 196, Loss: 0.6732, Validation Loss: 7.9891
1880.5s 207 Epoch 197, Loss: 0.7689, Validation Loss: 8.8960
1889.9s 208 Epoch 198, Loss: 0.8766, Validation Loss: 9.7600
1899.5s 209 Epoch 199, Loss: 0.7914, Validation Loss: 9.2915
1908.9s 210 Epoch 200, Loss: 2.5623, Validation Loss: 9.2474
1908.9s 211 Translate: soy feliz.
1909.3s 212 BLEU Score: 0.028006512830471748
1909.3s 213 No Attention Visualization (without_attention Mode).
1909.3s 214 
1909.3s 215 Running Mode: BAHDANAU
1922.1s 216 Epoch 1, Loss: 804.5364, Validation Loss: 6.0209
1934.8s 217 Epoch 2, Loss: 650.9303, Validation Loss: 5.6364
1947.4s 218 Epoch 3, Loss: 537.5033, Validation Loss: 5.4203
1960.2s 219 Epoch 4, Loss: 428.9790, Validation Loss: 5.3237
1972.7s 220 Epoch 5, Loss: 330.1283, Validation Loss: 5.4843
1985.3s 221 Epoch 6, Loss: 256.2400, Validation Loss: 5.4112
1998.0s 222 Epoch 7, Loss: 203.5229, Validation Loss: 5.3406
2010.6s 223 Epoch 8, Loss: 169.8324, Validation Loss: 5.4113
2023.4s 224 Epoch 9, Loss: 143.7733, Validation Loss: 5.5564
2035.9s 225 Epoch 10, Loss: 116.0991, Validation Loss: 5.6426
2048.5s 226 Epoch 11, Loss: 95.5544, Validation Loss: 5.3104
2061.1s 227 Epoch 12, Loss: 76.8354, Validation Loss: 5.4271
2073.6s 228 Epoch 13, Loss: 59.9713, Validation Loss: 5.5460
2086.4s 229 Epoch 14, Loss: 47.7507, Validation Loss: 5.6579
2098.8s 230 Epoch 15, Loss: 38.6057, Validation Loss: 5.8561
2111.4s 231 Epoch 16, Loss: 31.4917, Validation Loss: 5.6364
2124.0s 232 Epoch 17, Loss: 25.5114, Validation Loss: 5.6731
2136.5s 233 Epoch 18, Loss: 22.4445, Validation Loss: 6.0188
2149.2s 234 Epoch 19, Loss: 20.1663, Validation Loss: 5.6628
2161.8s 235 Epoch 20, Loss: 17.2315, Validation Loss: 5.8172
2174.3s 236 Epoch 21, Loss: 15.0301, Validation Loss: 6.1124
2187.0s 237 Epoch 22, Loss: 11.9899, Validation Loss: 5.9194
2199.5s 238 Epoch 23, Loss: 10.1081, Validation Loss: 5.5698
2212.1s 239 Epoch 24, Loss: 9.2791, Validation Loss: 5.8994
2224.6s 240 Epoch 25, Loss: 8.0300, Validation Loss: 6.2755
2237.1s 241 Epoch 26, Loss: 6.9031, Validation Loss: 5.9279
2249.7s 242 Epoch 27, Loss: 6.3848, Validation Loss: 6.1068
2262.3s 243 Epoch 28, Loss: 5.7569, Validation Loss: 5.7548
2274.8s 244 Epoch 29, Loss: 5.8033, Validation Loss: 6.3897
2287.4s 245 Epoch 30, Loss: 5.8176, Validation Loss: 5.9606
2299.9s 246 Epoch 31, Loss: 5.8381, Validation Loss: 6.1611
2312.5s 247 Epoch 32, Loss: 6.6445, Validation Loss: 5.9550
2325.0s 248 Epoch 33, Loss: 8.5627, Validation Loss: 5.9771
2337.5s 249 Epoch 34, Loss: 10.5032, Validation Loss: 5.8004
2350.1s 250 Epoch 35, Loss: 11.7872, Validation Loss: 6.0962
2362.7s 251 Epoch 36, Loss: 13.8098, Validation Loss: 6.1633
2375.2s 252 Epoch 37, Loss: 15.9835, Validation Loss: 6.5462
2387.8s 253 Epoch 38, Loss: 17.0596, Validation Loss: 6.3189
2400.3s 254 Epoch 39, Loss: 17.2431, Validation Loss: 6.3754
2412.9s 255 Epoch 40, Loss: 13.8752, Validation Loss: 6.8181
2425.4s 256 Epoch 41, Loss: 10.4355, Validation Loss: 5.8707
2438.0s 257 Epoch 42, Loss: 7.4939, Validation Loss: 6.4340
2450.5s 258 Epoch 43, Loss: 5.3560, Validation Loss: 6.3729
2462.9s 259 Epoch 44, Loss: 4.7245, Validation Loss: 6.6063
2475.5s 260 Epoch 45, Loss: 3.6479, Validation Loss: 5.8939
2488.0s 261 Epoch 46, Loss: 3.2774, Validation Loss: 7.0092
2500.6s 262 Epoch 47, Loss: 2.9713, Validation Loss: 6.1606
2513.1s 263 Epoch 48, Loss: 2.7900, Validation Loss: 7.4037
2525.6s 264 Epoch 49, Loss: 2.8264, Validation Loss: 6.5824
2538.2s 265 Epoch 50, Loss: 2.7268, Validation Loss: 6.4080
2550.7s 266 Epoch 51, Loss: 2.5626, Validation Loss: 6.3273
2563.2s 267 Epoch 52, Loss: 2.5116, Validation Loss: 7.0434
2575.7s 268 Epoch 53, Loss: 2.5237, Validation Loss: 6.4533
2588.2s 269 Epoch 54, Loss: 2.7507, Validation Loss: 6.4529
2600.8s 270 Epoch 55, Loss: 2.7806, Validation Loss: 6.5229
2613.4s 271 Epoch 56, Loss: 2.4306, Validation Loss: 6.8662
2626.0s 272 Epoch 57, Loss: 2.4601, Validation Loss: 5.9556
2638.5s 273 Epoch 58, Loss: 2.5621, Validation Loss: 6.3931
2651.0s 274 Epoch 59, Loss: 2.5414, Validation Loss: 6.8551
2663.6s 275 Epoch 60, Loss: 2.6094, Validation Loss: 6.6138
2676.2s 276 Epoch 61, Loss: 3.7021, Validation Loss: 7.5497
2688.8s 277 Epoch 62, Loss: 23.0745, Validation Loss: 6.0841
2701.3s 278 Epoch 63, Loss: 53.9174, Validation Loss: 6.5110
2713.8s 279 Epoch 64, Loss: 43.5788, Validation Loss: 6.7203
2726.5s 280 Epoch 65, Loss: 22.4585, Validation Loss: 5.8010
2739.0s 281 Epoch 66, Loss: 9.6704, Validation Loss: 6.3925
2751.6s 282 Epoch 67, Loss: 5.3238, Validation Loss: 6.2689
2764.1s 283 Epoch 68, Loss: 3.1537, Validation Loss: 6.2978
2776.5s 284 Epoch 69, Loss: 2.4096, Validation Loss: 6.4042
2789.1s 285 Epoch 70, Loss: 2.1152, Validation Loss: 6.9208
2801.7s 286 Epoch 71, Loss: 1.8589, Validation Loss: 6.9957
2814.3s 287 Epoch 72, Loss: 1.8603, Validation Loss: 6.3151
2826.8s 288 Epoch 73, Loss: 1.8707, Validation Loss: 6.5920
2839.4s 289 Epoch 74, Loss: 1.7065, Validation Loss: 6.5438
2852.0s 290 Epoch 75, Loss: 1.6738, Validation Loss: 6.4131
2864.5s 291 Epoch 76, Loss: 1.6689, Validation Loss: 6.5008
2877.3s 292 Epoch 77, Loss: 1.8095, Validation Loss: 6.7814
2889.8s 293 Epoch 78, Loss: 1.7816, Validation Loss: 7.5114
2902.4s 294 Epoch 79, Loss: 1.8214, Validation Loss: 6.7268
2915.1s 295 Epoch 80, Loss: 1.6193, Validation Loss: 6.6478
2927.5s 296 Epoch 81, Loss: 1.8963, Validation Loss: 6.3485
2940.1s 297 Epoch 82, Loss: 1.7037, Validation Loss: 6.5332
2952.7s 298 Epoch 83, Loss: 1.7512, Validation Loss: 6.5777
2965.2s 299 Epoch 84, Loss: 1.8212, Validation Loss: 6.7592
2977.8s 300 Epoch 85, Loss: 1.8797, Validation Loss: 7.6432
2990.3s 301 Epoch 86, Loss: 1.7891, Validation Loss: 6.5915
3002.8s 302 Epoch 87, Loss: 1.8895, Validation Loss: 6.4659
3015.4s 303 Epoch 88, Loss: 1.8004, Validation Loss: 6.9861
3027.9s 304 Epoch 89, Loss: 1.8273, Validation Loss: 6.4134
3040.5s 305 Epoch 90, Loss: 3.2034, Validation Loss: 6.2001
3053.1s 306 Epoch 91, Loss: 14.4734, Validation Loss: 6.5852
3065.6s 307 Epoch 92, Loss: 29.8261, Validation Loss: 7.1883
3078.2s 308 Epoch 93, Loss: 27.2879, Validation Loss: 6.6265
3090.7s 309 Epoch 94, Loss: 15.8203, Validation Loss: 6.7472
3103.3s 310 Epoch 95, Loss: 7.5563, Validation Loss: 7.0852
3115.8s 311 Epoch 96, Loss: 3.7464, Validation Loss: 7.3313
3128.3s 312 Epoch 97, Loss: 2.3700, Validation Loss: 6.0531
3141.0s 313 Epoch 98, Loss: 1.7516, Validation Loss: 6.8810
3153.4s 314 Epoch 99, Loss: 1.4976, Validation Loss: 7.1096
3166.0s 315 Epoch 100, Loss: 1.3458, Validation Loss: 6.1284
3178.5s 316 Epoch 101, Loss: 1.4394, Validation Loss: 6.5985
3191.0s 317 Epoch 102, Loss: 1.1972, Validation Loss: 7.1422
3203.6s 318 Epoch 103, Loss: 1.2478, Validation Loss: 6.2804
3216.2s 319 Epoch 104, Loss: 1.1619, Validation Loss: 7.3787
3228.8s 320 Epoch 105, Loss: 1.1309, Validation Loss: 6.3534
3241.3s 321 Epoch 106, Loss: 1.1647, Validation Loss: 6.9483
3253.8s 322 Epoch 107, Loss: 1.1750, Validation Loss: 6.5255
3266.4s 323 Epoch 108, Loss: 1.1889, Validation Loss: 6.8598
3278.9s 324 Epoch 109, Loss: 1.0418, Validation Loss: 7.2920
3291.5s 325 Epoch 110, Loss: 1.2693, Validation Loss: 7.2064
3304.0s 326 Epoch 111, Loss: 1.1942, Validation Loss: 6.6824
3316.5s 327 Epoch 112, Loss: 1.2406, Validation Loss: 7.0330
3329.1s 328 Epoch 113, Loss: 1.4105, Validation Loss: 7.4785
3341.6s 329 Epoch 114, Loss: 1.4595, Validation Loss: 7.6957
3354.3s 330 Epoch 115, Loss: 1.5832, Validation Loss: 6.6792
3366.8s 331 Epoch 116, Loss: 1.6599, Validation Loss: 7.8864
3379.3s 332 Epoch 117, Loss: 1.6511, Validation Loss: 7.4482
3391.9s 333 Epoch 118, Loss: 1.8133, Validation Loss: 7.4331
3404.5s 334 Epoch 119, Loss: 2.4388, Validation Loss: 7.9960
3417.1s 335 Epoch 120, Loss: 5.1884, Validation Loss: 7.3713
3429.6s 336 Epoch 121, Loss: 16.9853, Validation Loss: 6.8003
3442.2s 337 Epoch 122, Loss: 22.9028, Validation Loss: 6.8119
3454.8s 338 Epoch 123, Loss: 16.4674, Validation Loss: 6.3229
3467.3s 339 Epoch 124, Loss: 7.5361, Validation Loss: 7.1838
3479.9s 340 Epoch 125, Loss: 3.8268, Validation Loss: 6.6877
3492.3s 341 Epoch 126, Loss: 2.0812, Validation Loss: 7.9545
3504.9s 342 Epoch 127, Loss: 1.4024, Validation Loss: 7.2846
3517.5s 343 Epoch 128, Loss: 1.1425, Validation Loss: 6.6662
3530.0s 344 Epoch 129, Loss: 1.0036, Validation Loss: 6.3183
3542.6s 345 Epoch 130, Loss: 1.0301, Validation Loss: 6.9312
3555.2s 346 Epoch 131, Loss: 0.9705, Validation Loss: 7.0323
3567.7s 347 Epoch 132, Loss: 0.9183, Validation Loss: 6.5509
3580.3s 348 Epoch 133, Loss: 0.9903, Validation Loss: 7.4262
3592.8s 349 Epoch 134, Loss: 1.0331, Validation Loss: 6.9124
3605.4s 350 Epoch 135, Loss: 0.9281, Validation Loss: 7.2363
3618.0s 351 Epoch 136, Loss: 1.0908, Validation Loss: 7.2008
3630.5s 352 Epoch 137, Loss: 0.9911, Validation Loss: 6.4411
3643.1s 353 Epoch 138, Loss: 0.9112, Validation Loss: 7.5740
3655.6s 354 Epoch 139, Loss: 0.9608, Validation Loss: 6.7126
3668.3s 355 Epoch 140, Loss: 0.8678, Validation Loss: 7.5777
3680.8s 356 Epoch 141, Loss: 0.9540, Validation Loss: 7.0825
3693.3s 357 Epoch 142, Loss: 1.0233, Validation Loss: 7.0483
3705.9s 358 Epoch 143, Loss: 0.9185, Validation Loss: 7.9072
3718.4s 359 Epoch 144, Loss: 1.0351, Validation Loss: 7.4103
3731.1s 360 Epoch 145, Loss: 0.9183, Validation Loss: 7.0500
3743.7s 361 Epoch 146, Loss: 0.9902, Validation Loss: 8.0032
3756.2s 362 Epoch 147, Loss: 1.1281, Validation Loss: 7.2013
3768.8s 363 Epoch 148, Loss: 1.1946, Validation Loss: 6.7848
